Packet Timestamp, Raw Timestamp Metadata, Converted Timestamp Metadata, Previous Packet Offset, Agg Tap and Packet Delta, Error Code, Payload
1615889074:14364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615874710, 0xa, 01 02 30 30 30 30 31 31 32 32 37 39 30 31 32 28 7F 7E 20 07 F0 EB C1 CE A0 06 6D 97 2C 2C 29 C7 56 55 53 20 A0 C1 96 8B C4 18 35 80 A0 C4 01 52 F8 9C 01 72 98 92 A0 C6 0F 00 44 00 07 D0 CD 06 0D A0 80 80 0F D0 9F C2 0E 00 04 00 00 DF 0A 57 98 8A CE D8 C4 80 80 0F 00 04 00 07 D0 0D 5D E8 07 E8 A6 1B AC 91 C6 0E 00 04 00 07 D0 07 50 C8 80 80 0F D0 94 C2 0F 00 04 00 07 D0 10 64 B8 27 88 A6 3A CC 9B C6 0F 00 44 00 07 C0 C1 1E 42 A0 1B AC 91 2E F0 A6 0E 00 04 00 07 D0 21 48 F0 80 80 13 C4 95 CE 0C 00 04 00 01 D0 24 4F C0 0F D0 9F C2 18 01 34 00 07 D0 57 55 53 20 A0 95 8C 1B 3B D0 01 66 BC 9C 02 19 A0 87 C6 17 21 04 00 07 D0 D2 57 55 50 20 A0 07 50 C8 01 08 DC 82 01 24 88 8C C1 0B 00 04 00 85 09 13 F0 36 D8 59 EC 03 
1615889074:15364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615873710, 0xa, 01 02 30 30 30 30 30 37 39 32 37 38 30 31 32 28 7F 7E 20 07 F0 EB D2 CE A0 04 6B AE 2C 2C 29 C9 4F 4A 4B 20 A0 C1 96 8B C4 1B 3B D0 A0 C4 03 3D A8 84 03 60 BC 84 A0 C1 0D 00 04 00 85 1E 42 A0 01 76 8C 02 11 B8 0C 00 04 00 85 21 48 F0 78 A8 01 07 F8 0E 00 04 00 07 C0 24 4F C0 27 EC 8E 42 B4 8E 0B 00 04 00 85 27 56 90 0C C0 1C 90 0B 00 04 00 85 2A 5C E0 03 F4 0A F8 0B 00 04 00 87 2D 63 B0 80 80 07 E8 09 00 04 00 81 30 6A 80 03 F4 05 00 84 33 70 D0 06 00 C4 CD 09 13 F0 0C 00 04 00 87 0C 1A C0 01 C8 84 06 A0 0B 00 04 00 85 0F 21 90 09 B0 11 98 03 
1615889074:16363, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615872711, 0xa, 01 02 30 30 30 30 31 31 32 32 39 31 30 30 31 33 7F 7E 20 07 7F F8 EB C1 CE A0 06 6D A3 2C 2C 29 C7 57 57 46 20 A0 C1 95 8C C4 1E 42 A0 A0 C4 65 C8 8A 01 0C D0 8A A0 CF C1 C4 69 BC 8A C1 C4 01 0C D0 8A 03 
1615889074:17364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615871710, 0xa, 01 02 30 30 30 30 31 30 34 31 30 35 30 31 32 25 7F 7E 20 07 F0 EB A0 D1 A0 06 2D A9 2C 2C 29 C8 44 41 56 20 A0 CF 94 8A C4 3C 36 B0 A0 C4 80 80 0A F8 90 A0 C1 19 21 44 20 07 D0 C6 44 49 58 20 A0 C3 30 6A 80 C2 2D 9E A8 09 44 5A E4 81 CC 17 31 4C 20 07 D0 A0 D8 44 4F 41 20 A0 CF C1 05 D5 C4 80 80 03 F4 E4 C6 1A 31 4C 00 07 D0 C6 D1 44 49 58 20 A0 C3 C4 30 6A 80 23 2B B8 A8 26 2A A0 A8 CC 17 01 64 00 07 C0 44 41 51 20 A0 C4 91 0E 53 80 01 6A B0 8A 02 01 E8 8A 0C 00 44 00 87 D0 0E 04 F0 80 80 0F D0 14 31 64 00 01 D0 D2 C1 44 41 55 20 A0 C3 94 0F 21 90 80 80 C1 0D 02 04 00 00 90 2C 2C 29 CA 0F 6F A0 CC 09 00 04 00 00 90 10 3D B0 C1 05 00 84 11 0B C0 05 00 84 11 59 D0 14 31 4C 00 01 D0 A0 D8 44 4F 41 20 A0 CF C1 05 C1 03 F4 E4 C6 03 
1615889074:18364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615870710, 0xa, 01 02 30 30 30 30 31 30 39 37 32 37 30 31 32 28 7F 7E 20 07 F0 EB D2 CE A0 06 59 9F 2C 2C 29 C6 59 47 44 20 A0 C1 95 8C C4 18 35 80 A0 C4 06 5F A4 83 07 1D E4 83 A0 C1 0D 00 04 00 85 1B 3B D0 05 08 B8 05 2B CC 0D 00 04 00 85 1E 42 A0 03 39 B4 03 68 A4 11 02 04 00 85 2C 2C 29 C8 21 48 F0 02 21 88 02 48 90 0D 00 04 00 85 24 4F C0 01 38 B0 01 52 F8 0E 00 04 00 05 C0 27 56 90 66 AC 01 08 DC 81 17 21 3C 00 07 C0 C1 5A 53 46 20 A0 96 8B C3 09 62 80 02 AC 91 0C C0 91 17 01 7C 00 07 C0 5A 51 4E 20 A0 D3 91 8A C4 2D 63 B0 1B AC 99 28 D0 85 18 31 74 00 07 C0 D2 C1 5A 59 4C 20 A0 CD 96 8B 0C 1A C0 01 C8 E4 06 A0 E4 0B 00 04 00 85 0D 5D E8 03 F4 09 B0 0D 00 04 00 87 0F 21 90 0A F8 03 FC 0E EC 0D 00 04 00 87 12 27 E0 15 F0 01 FB 1C 90 03 
1615889074:19363, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615869711, 0xa, 01 02 30 30 30 30 30 37 32 32 37 32 30 30 33 28 7F 7E 20 07 F0 EB C1 C1 A0 04 34 D0 2C 2C 29 C5 43 55 56 20 A0 D2 93 8A C4 18 35 80 A0 C4 03 2D D8 8B 03 64 B0 8B A0 C1 0D 00 04 00 85 1B 3B D0 05 75 E8 06 24 D8 0D 00 64 00 87 D5 92 0A 57 98 80 80 1B AC 03 
1615889074:20364, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615868710, 0xa, 01 02 30 30 30 30 31 30 35 34 34 38 30 31 32 26 7F 7E 20 07 F0 EB D2 CE A0 06 37 E8 2C 2C 29 C7 53 57 46 20 A0 C7 91 8A C4 18 35 80 A0 C4 6F DC 92 79 F0 92 A0 CC 1A 31 6C 00 07 D0 A0 D8 53 5A 43 20 A0 C5 96 C1 05 E4 18 51 F4 A1 18 68 C8 A1 C6 16 01 44 00 07 D0 53 57 47 20 A0 D1 07 8E 0F D0 02 A4 13 C4 02 E9 C1 11 00 44 00 07 D0 C5 07 84 0E 70 D8 A1 0F 07 AC A1 C6 0E 00 40 00 07 C0 D1 0E EC 02 80 11 98 02 A9 0E 00 04 00 07 C0 08 A4 61 D4 07 C4 64 E4 CE 10 00 04 00 07 D0 08 B8 7D E4 07 D0 01 00 F4 B5 C5 0F 00 04 00 07 D0 08 AE 6E F8 07 C4 72 88 E8 C6 11 00 04 00 07 D0 08 C2 01 0E 98 07 D0 01 12 8C BD C5 0F 00 04 00 07 D0 08 90 4C C8 07 C4 4E F4 D0 C6 0D 00 04 00 05 D0 08 9A 56 DC 59 88 A9 C5 19 31 6C 00 07 D0 D2 CE 53 57 46 20 A0 C3 94 C4 15 2E B0 1C F4 92 20 84 8B CC 03 
1615889074:21362, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615867712, 0xa, 01 02 30 30 30 30 30 39 34 34 30 32 30 30 32 2B 7F 7E 20 07 FF EB C1 CE A0 05 61 C2 2C 2C 29 C8 51 43 42 20 A0 C9 92 8A C4 0A 57 98 A0 C4 5D E0 95 71 A4 95 A0 CD D8 C4 5D E0 96 0F 00 40 00 07 D0 D5 01 5A E0 8A 01 72 98 8B C5 03 
1615889074:22362, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615866712, 0xa, 01 02 30 30 30 30 31 30 39 37 33 39 30 30 31 27 7F 7E 20 07 F0 EB D2 C1 A0 06 59 AB 2C 2C 29 C8 5A 59 4C 20 A0 CD 96 8B C4 15 2E B0 A0 C4 27 EC 06 F4 30 B8 E4 A0 C1 03 
1615889074:23363, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615865711, 0xa, 01 02 30 30 30 30 31 31 33 34 36 36 30 31 32 25 7F 7E 20 07 F0 EB A0 D8 A0 06 76 BA 2C 2C 29 C9 51 57 43 20 A0 D0 91 8A C1 01 96 A0 C4 07 E8 94 1B AC 94 A0 C6 10 01 04 00 07 C0 51 51 42 20 A0 FD 80 80 13 C4 8A 0C 00 40 00 87 C4 03 54 E0 8A 03 7B E8 0A 00 04 00 85 01 C8 0F D0 23 94 0A 00 04 00 87 01 E1 80 80 13 C4 0C 00 44 00 87 D3 01 96 17 B8 8A 2A FC 0B 00 44 00 85 C7 01 C8 4A 9C 5D E0 05 00 C4 D3 01 AF 0B 00 40 00 85 C7 01 27 FC 01 47 9C 0C 00 04 00 85 01 96 02 38 C0 02 57 E0 0D 00 44 00 85 D3 01 E1 02 30 D8 02 4F F8 09 00 04 00 87 FD 80 80 13 C4 03 
1615889074:24363, 176c6c96:55f2, 1615889074:1615889074, 0:0, 0:-1615864711, 0xa, 01 02 30 30 30 30 31 30 34 31 31 37 30 31 32 24 7F 7E 20 07 F0 EB A0 D8 A0 06 2D B5 2C 2C 29 CA 44 4F 41 20 A0 CF 94 8A C1 05 CB A0 C4 80 80 03 F4 E4 A0 C6 04 00 84 05 AD 08 00 04 00 81 05 99 02 AC 04 00 84 05 A3 1B 31 6C 00 07 D0 C1 CE 43 59 51 20 A0 C4 91 C4 0E 04 F0 01 5E D4 CB 01 72 98 CB C1 17 01 04 00 07 DF 43 57 59 20 A0 15 2E B0 80 80 0E EC E4 CD D8 C4 80 80 12 01 44 00 06 90 43 59 51 20 A0 D0 0B 4C B0 01 C8 AA C5 0B 00 04 00 06 90 0A 7E A0 80 80 CD 05 00 84 09 13 F0 19 31 6C 00 07 90 A0 D8 44 4F 41 20 A0 C3 94 C1 05 F3 09 57 EC E4 09 6D DC C6 0B 00 44 00 87 CF 05 8F 80 80 02 AC 0E 00 44 00 87 C3 05 CB 0C 10 AC E4 0C 27 80 03 
